year,date,n_wells,mean_depth_cm,median_depth_cm,min_depth_cm,max_depth_cm,sd_across_wells_cm,spatial_range_cm
2019,2019-08-11,7,16.80633679566017,14.2225297900652,-5.94869281062671,29.5471861170455,12.271656686114651,35.49587892767221
2019,2019-08-12,7,15.006316866962814,13.3058775161359,-7.14830308522494,27.2677665800217,12.054018260871471,34.41606966524664
2019,2019-08-13,7,11.111459940498921,10.1613673345867,-8.76607106353191,23.6886131343056,12.241231743623047,32.45468419783751
2019,2019-08-14,7,12.061594008584118,10.6892038428953,-10.3765129107103,24.49308013435,12.448775556612729,34.8695930450603
2019,2019-08-15,7,12.842552756061862,11.514419363715,-8.34684341777603,24.5496084367502,11.59085325548903,32.896451854526234
2019,2019-08-16,7,13.417584287095554,12.2405094472384,-8.24357737858747,25.3072461557394,11.757528503124302,33.55082353432687
2019,2019-08-17,7,12.582407239736227,11.7349273378267,-10.5279525254986,24.9915320119129,12.908178747057727,35.5194845374115
2019,2019-08-18,7,12.978432949444741,12.4647264635627,-10.2463355640367,26.6426976617396,13.44471836275,36.8890332257763
2019,2019-08-19,7,14.367720134682259,14.1099486523828,-7.99929941400137,28.0453513188206,13.314814462398045,36.04465073282197
2019,2019-08-20,7,14.912557286378094,13.992961999412,-7.93971453825577,27.5550035269461,13.116383770320072,35.494718065201866
2019,2019-08-21,7,14.837147944681451,14.7277068597674,-7.37173628554899,26.7814843465089,12.384675046291298,34.15322063205789
2019,2019-08-22,7,14.81282229362893,13.8385355408886,-9.05549782371509,27.1011784257041,12.775614809717583,36.15667624941919
2019,2019-08-23,7,15.608353773291316,15.2609774393795,-8.57346769201115,27.6850054344706,12.757596942000662,36.258473126481746
2019,2019-08-24,7,16.704384354265553,15.5348768127098,-8.89188089535793,29.2600640065956,13.451225709795882,38.15194490195353
2019,2019-08-25,7,18.519622168091736,17.6700020496554,-8.28663193241965,31.6123865565942,14.101553256562623,39.89901848901385
2019,2019-08-26,7,19.34587039495433,19.1730893773112,-6.34265510474279,32.8855449697116,14.349340063531526,39.22820007445439
2019,2019-08-27,7,20.110954750095647,21.0970878733391,-3.92566587469929,33.9961861039214,13.935626713355777,37.921851978620694
